VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,02/04/2020 12:00:07 AM,02/04/2020 12:08:01 AM,N,1,42,152,1,1.21,7,0.5,0.5,0,0,,0.3,8.3,1,1,0
2,02/04/2020 12:00:20 AM,02/04/2020 12:13:44 AM,N,1,25,188,1,3.28,12.5,0.5,0.5,0,0,,0.3,13.8,2,1,0
2,02/04/2020 12:00:42 AM,02/04/2020 12:03:29 AM,N,1,166,152,1,0.68,4,0.5,0.5,0,0,,0.3,5.3,2,1,0
2,02/04/2020 12:01:00 AM,02/04/2020 12:13:15 AM,N,1,82,173,1,1.89,9.5,0.5,0.5,1.5,0,,0.3,12.3,1,1,0
,02/04/2020 12:01:00 AM,02/04/2020 12:31:00 AM,,,136,90,,12.8,51.55,2.75,0,0,0,,0.3,54.6,,,
2,02/04/2020 12:01:01 AM,02/04/2020 12:17:38 AM,N,1,82,197,2,4.57,16,0.5,0.5,0,0,,0.3,17.3,2,1,0
2,02/04/2020 12:01:35 AM,02/04/2020 12:09:15 AM,N,1,260,146,1,1.83,8,0.5,0.5,1.4,0,,0.3,10.7,1,1,0
2,02/04/2020 12:01:40 AM,02/04/2020 12:10:34 AM,N,1,130,205,1,2.9,10.5,0.5,0.5,0,0,,0.3,11.8,1,1,0
,02/04/2020 12:02:00 AM,02/04/2020 12:15:00 AM,,,254,126,,6.98,29.02,2.75,0,0,0,,0.3,32.07,,,
2,02/04/2020 12:02:11 AM,02/04/2020 12:21:36 AM,N,1,65,255,1,5.48,19.5,0.5,0.5,0,0,,0.3,20.8,1,1,0
2,02/04/2020 12:02:40 AM,02/04/2020 12:05:50 AM,N,1,146,193,5,1.02,5,0.5,0.5,0,0,,0.3,6.3,2,1,0
2,02/04/2020 12:02:51 AM,02/04/2020 12:13:13 AM,N,1,43,244,1,4.85,15.5,0.5,0.5,3.36,0,,0.3,20.16,1,1,0
2,02/04/2020 12:02:55 AM,02/04/2020 12:12:10 AM,N,1,42,75,1,2.09,9,0.5,0.5,0,0,,0.3,10.3,2,1,0
2,02/04/2020 12:03:41 AM,02/04/2020 12:07:08 AM,N,1,41,43,1,1.22,5.5,0.5,0.5,0,0,,0.3,6.8,1,1,0
2,02/04/2020 12:03:52 AM,02/04/2020 12:09:58 AM,N,1,145,179,1,1.72,7.5,0.5,0.5,0,0,,0.3,8.8,1,1,0
2,02/04/2020 12:04:02 AM,02/04/2020 12:10:51 AM,N,1,134,216,1,3.46,11.5,0.5,0.5,2.56,0,,0.3,15.36,1,1,0
